Date,Dividends
1981-09-30,0.113
1990-12-14,0.12
1983-10-03,0.1
1992-12-16,0.0475
2009-12-21,0.211
2005-12-19,0.415
2007-12-18,2.416
1994-12-21,0.3025
2002-12-13,0.019
2004-12-10,0.09
2015-12-22,3.664
2000-12-15,4.24
2017-12-20,3.484
1986-10-10,0.07
1989-12-07,0.1525
2011-12-20,0.219
1982-10-06,0.1475
1996-12-13,0.97
2013-12-18,2.886
1991-12-13,0.0875
1987-09-01,0.0625
1984-10-01,0.0725
1993-12-15,0.2725
2008-12-22,0.234
1980-09-25,0.0375
1987-12-11,0.01
1998-12-23,2.3
2006-12-18,1.374
1995-12-20,0.64
1999-12-16,3.24
2003-12-12,0.006
2001-12-14,0.045
2016-12-21,2.779
2018-12-21,5.125
1988-12-09,0.0775
2010-12-21,0.245
2012-12-19,0.283
2014-12-17,4.225
1985-10-04,0.055
1997-12-17,2.19
