ticker,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SPY,SPDR S&P 500 ETF,Equity,"$313,491,761,290.00 ",0.17%,"57,292,928",$322.41 ,-0.76%,No,No,-0.14%,2.90%,34.52%,52.67%,73.19%,"$5,644,682,368.00 ","$8,161,972,460.00 ","$13,656,430,915.00 ","$9,209,843,435.50 ","$6,543,629,850.50 ","$3,040,426,047.14 ",Large Cap Growth Equities,1/22/1993,0.09%,N/A,$5.62 ,12/20/2019,$1.57 ,1.73%,19.67,1,506,22.88%,35%,15%,1099,$309.80 ,$326.44 ,$321.13 ,$323.67 ,66.68,A,A+,A,B+,B,A-,B+,5.69,60.41%,55.22%,178.6,11.83%,5.14%
IVV,iShares Core S&P 500 ETF,Equity,"$201,222,769,080.00 ",0.18%,"3,409,797",$323.81 ,-0.77%,No,No,-0.14%,2.92%,34.79%,53.09%,73.17%,"($390,744,300.00)","($536,132,715.00)","($1,334,142,400.00)","$7,589,063,723.00 ","$56,710,066,503.50 ","$70,342,488,516.00 ",Large Cap Growth Equities,5/15/2000,0.04%,3 Platforms,$7.08 ,12/16/2019,$2.04 ,2.17%,22.34,1,506,22.83%,35%,15%,1099,$311.13 ,$327.96 ,$322.53 ,$325.08 ,66.76,A,A,A,A-,B,A,A-,5.69,59.53%,55.13%,178.81,11.81%,5.14%
VTI,Vanguard Total Stock Market ETF,Equity,"$138,376,809,462.00 ",0.19%,"2,481,128",$163.93 ,-0.64%,No,No,-0.09%,2.82%,33.91%,50.38%,70.38%,"$69,470,802.38 ","$134,901,493.71 ","$1,866,339,452.10 ","$14,998,115,540.95 ","$33,176,192,132.28 ","$46,901,741,364.02 ",Large Cap Growth Equities,5/31/2001,0.03%,2 Platforms,$3.63 ,12/24/2019,$0.89 ,2.20%,21.9,1.02,1583,18.91%,35%,15%,1099,$157.66 ,$165.93 ,$163.14 ,$164.60 ,66.78,A+,A+,A,B+,B+,A-,A+,5.35,36.61%,46.21%,177.58,10.51%,5.38%
VOO,Vanguard S&P 500 ETF,Equity,"$131,051,094,314.00 ",0.15%,"2,369,484",$296.24 ,-0.73%,No,No,-0.14%,2.93%,34.67%,52.99%,73.88%,"$271,112,340.16 ","$346,776,519.58 ","($459,387,240.24)","$12,567,237,332.60 ","$40,836,858,542.08 ","$65,798,488,626.53 ",Large Cap Growth Equities,9/9/2010,0.03%,Vanguard,$5.57 ,12/23/2019,$1.43 ,1.87%,22.2,0.99,504,22.89%,35%,15%,1099,$284.63 ,$300.00 ,$295.07 ,$297.39 ,66.94,A,A,A,B+,B,A-,A-,5.69,60.82%,55.27%,178.92,11.82%,5.14%
QQQ,Invesco QQQ,Equity,"$87,880,951,761.00 ",0.74%,"21,023,144",$214.18 ,-0.92%,No,No,0.27%,4.70%,44.13%,85.47%,118.04%,"$192,110,964.00 ","($116,289,733.50)","$2,270,067,417.00 ","$4,615,611,878.00 ","$14,506,582,297.00 ","$10,622,180,907.50 ",Large Cap Growth Equities,3/10/1999,0.20%,N/A,$2.00 ,12/23/2019,$0.46 ,0.93%,22.66,1.16,104,52.89%,35%,15%,1099,$201.27 ,$217.12 ,$213.15 ,$215.34 ,68.56,A-,A+,A-,A-,C+,B,B,5.59,49.83%,51.94%,45.99,9.67%,7.69%
VEA,Vanguard FTSE Developed Markets ETF,Equity,"$78,716,542,224.00 ",-0.41%,"7,541,626",$43.88 ,-1.22%,No,No,-0.59%,2.30%,23.27%,31.61%,35.25%,"$2,468,816.36 ","$3,250,408.10 ","$951,731,682.88 ","$1,760,636,537.71 ","$28,492,289,618.23 ","$45,867,771,427.45 ",Foreign Large Cap Equities,7/26/2007,0.05%,2 Platforms,$1.72 ,12/23/2019,$0.44 ,3.89%,15.7,0.85,1844,9.19%,35%,15%,1099,$42.50 ,$44.64 ,$43.74 ,$44.09 ,59.93,A,A,A,A-,B,A-,A,6.71,41.22%,81.40%,168.39,10.09%,6.17%
IEFA,iShares Core MSCI EAFE ETF,Equity,"$74,232,809,768.00 ",-0.20%,"7,831,666",$65.11 ,-1.24%,No,No,-0.49%,2.09%,23.65%,33.00%,36.37%,$0.00 ,$0.00 ,"$1,175,400,214.00 ","$11,404,441,810.00 ","$53,204,088,052.00 ","$66,258,396,590.00 ",Foreign Large Cap Equities,10/18/2012,0.07%,Fidelity,$2.08 ,12/16/2019,$0.88 ,3.16%,15.8,0.83,2450,9.88%,35%,15%,1099,$63.19 ,$66.14 ,$64.91 ,$65.41 ,59.67,A+,A,A,N/A,B+,B+,A,6.9,52.70%,84.39%,146.32,10.92%,7.06%
AGG,iShares Core U.S. Aggregate Bond ETF,Bond,"$69,618,218,399.00 ",0.57%,"4,001,255",$113.01 ,0.29%,No,No,0.34%,0.60%,8.54%,13.05%,14.72%,"($33,711,804.00)","$22,535,099.00 ","$1,865,574,254.00 ","$8,268,550,888.00 ","$25,457,572,457.00 ","$44,573,725,671.00 ",Total Bond Market,9/22/2003,0.05%,2 Platforms,$3.03 ,12/19/2019,$0.19 ,2.70%,0,-0.05,8488,5.78%,35%,15%,1099,$112.10 ,$112.78 ,$112.84 ,$113.11 ,58.95,A+,A+,A,A-,A-,B+,A,6.03,65.54%,65.01%,390.46,2.61%,0.87%
VWO,Vanguard FTSE Emerging Markets ETF,Equity,"$67,705,128,060.00 ",0.56%,"11,045,169",$44.72 ,-1.78%,No,No,0.25%,6.18%,22.81%,36.08%,29.99%,"$956,674.51 ","$1,996,116.51 ","$355,465,841.37 ","$2,680,248,615.76 ","$11,958,378,012.58 ","$15,580,341,895.86 ",Emerging Markets Equities,3/10/2005,0.12%,3 Platforms,$1.70 ,12/23/2019,$0.56 ,3.75%,13.3,0.88,1618,22.29%,35%,15%,1099,$41.63 ,$45.68 ,$44.61 ,$44.93 ,65.91,A,A,A,B+,B,B+,A+,4.06,24.64%,19.33%,351.18,2.57%,3.82%
EFA,iShares MSCI EAFE ETF,Equity,"$64,718,819,256.00 ",-0.24%,"22,328,402",$69.27 ,-1.24%,No,No,-0.53%,1.98%,23.10%,31.22%,32.27%,$0.00 ,$0.00 ,"$1,124,558,700.00 ","($8,189,748,366.00)","($7,614,605,658.00)","$2,504,130,048.00 ",Foreign Large Cap Equities,8/14/2001,0.32%,N/A,$2.15 ,12/16/2019,$0.78 ,3.08%,15.83,0.84,919,11.61%,35%,15%,1099,$67.32 ,$70.43 ,$69.07 ,$69.58 ,58.69,A,A+,A-,A-,B,B+,A,7.12,65.95%,87.41%,147.93,12.18%,6.81%
