date,SPY,IVV,VTI,VOO,QQQ,VEA,EFA,IEFA,VWO,AGG,IJH,IEMG,IWM,IJR,VTV,IWF,IWD,VUG,BND,LQD,XLF,VNQ,VIG,EEM,GLD,VB,BSV,VO,TIP,VEU,IVW,DIA,XLK,VYM,VGT,VCSH,MDY,IWB,VCIT,XLV,IWR,XLE,DVY,USMV,EWJ,VGK,PFF,SCHF,SDY,RSP,XLY,ITOT,IVE,SCHX,HYG,SHV,VBR,EMB,SHY,VV,SCHB,XLI,BIV,VT,MBB,BNDX,IWS,VXUS,FLOT,IWO,IXUS,MINT,SCZ,PYZ,MXI,IYM,IXP,RXI,VCR,RHS,VDC,PXI,PXE,IEO,RYF,IYG,KIE,FBT,PTH,IHI,ITA,VIS,ICF,REZ,RWR,PSJ,IGV,RYU,IDU,VPU
2015-01-08,205.9,207.4,106.15,188.82,103.3,37.39,59.93,54.65,40.3,110.76,144.95,47.41,118.71,56.36,84.67,95.92,104.47,104.54,83.05,120.58,24.45,85.09,81.44,39.4,115.94,116.21,80.17,123.79,112.74,46.38,112.42,178.76,41.38,69.08,104.33,79.78,264.11,114.9,86.87,70.84,41.88,76.97,79.65,41.13,44.98,51.3,39.64,28.48,79.16,79.9,71.72,47.0,93.48,49.19,89.65,110.24,104.8,110.11,84.61,94.58,49.87,56.02,85.44,59.85,109.72,53.39,74.06,47.94,50.58,141.99,52.68,100.99,46.28,52.28,55.65,81.96,60.23,84.74,116.05,106.42,127.32,43.33,26.79,68.38,44.55,89.69,22.05,105.46,55.28,116.3,115.27,105.42,102.0,62.28,95.41,39.12,92.06,79.13,119.65,103.47
2015-01-09,204.25,205.65,105.27,187.23,102.62,37.21,59.64,54.4,40.1,111.03,143.72,47.24,117.57,55.81,83.9,95.19,103.51,103.76,83.19,120.9,24.12,85.13,80.76,39.27,117.26,115.23,80.25,122.9,113.08,46.12,111.61,177.22,41.25,68.55,104.06,79.86,261.88,113.93,87.09,70.21,41.55,76.36,79.03,40.89,44.52,51.0,39.67,28.35,78.37,79.25,70.89,46.59,92.53,48.79,90.1,110.25,103.76,110.04,84.68,93.79,49.47,55.42,85.72,59.45,109.84,53.36,73.49,47.74,50.58,140.98,52.41,101.04,46.16,51.87,55.6,81.51,60.09,84.11,114.81,105.8,126.34,43.01,26.76,68.39,44.03,88.27,21.77,104.99,55.36,115.45,114.51,104.27,102.27,62.43,95.56,38.72,91.17,78.37,118.81,102.73
2015-01-12,202.65,204.09,104.52,185.84,101.55,37.17,59.5,54.31,39.74,111.12,142.84,46.89,117.18,55.62,83.33,94.44,102.79,102.84,83.3,121.13,23.92,85.78,80.18,38.95,118.56,114.69,80.27,121.81,113.05,45.93,110.8,176.24,40.77,68.1,102.74,79.95,260.48,113.05,87.18,70.24,41.22,74.16,78.61,40.71,44.36,50.99,39.64,28.24,78.05,78.46,70.51,46.25,91.76,48.4,89.99,110.27,103.03,109.4,84.73,93.05,49.09,55.04,85.95,59.14,109.83,53.48,73.02,47.55,50.55,140.52,52.13,101.02,45.93,51.63,55.3,81.22,60.26,83.88,114.4,104.97,125.83,41.45,25.69,65.71,43.73,87.29,21.56,106.19,55.49,115.66,113.63,103.48,103.06,63.1,96.32,38.54,90.73,78.51,118.44,102.46
2015-01-13,202.08,203.56,104.28,185.35,101.52,37.35,59.8,54.53,40.02,111.15,142.84,47.27,117.27,55.85,83.0,94.33,102.48,102.75,83.38,121.24,23.84,85.65,79.99,39.29,118.16,114.67,80.35,121.64,112.87,46.18,110.65,175.98,40.74,67.97,102.72,79.92,260.36,112.86,87.23,69.93,41.17,73.57,78.75,40.67,44.72,51.22,39.6,28.39,77.96,78.26,70.51,46.13,91.38,48.29,89.99,110.26,103.04,109.75,84.78,92.84,49.0,54.93,86.12,59.18,109.84,53.53,72.85,47.8,50.56,140.5,52.47,101.08,46.15,51.37,54.82,80.32,60.62,84.02,114.24,105.02,125.78,41.04,25.3,65.22,43.6,86.93,21.54,107.06,55.39,114.92,113.9,103.38,102.84,62.96,96.09,38.11,90.49,78.65,118.92,102.86
2015-01-14,200.86,202.33,103.71,184.26,100.96,37.25,59.63,54.44,39.87,111.42,142.33,47.07,116.8,55.58,82.44,93.91,101.78,102.25,83.57,121.45,23.5,86.39,79.49,39.07,117.97,114.25,80.48,120.97,113.54,46.0,110.19,174.06,40.51,67.66,102.1,79.98,259.29,112.17,87.41,69.82,40.99,73.8,78.88,40.53,44.64,51.16,39.52,28.29,77.64,77.85,69.66,45.89,90.73,48.01,89.78,110.26,102.55,110.58,84.83,92.29,48.72,54.63,86.34,58.91,109.94,53.66,72.66,47.6,50.56,139.96,52.34,101.05,46.2,51.04,53.97,79.29,60.67,83.38,112.94,104.91,125.44,41.3,25.37,65.81,43.2,85.17,21.25,107.24,55.38,114.38,113.56,102.69,103.76,63.59,96.95,38.21,89.98,79.39,119.93,103.82
2015-01-15,199.02,200.43,102.66,182.54,99.65,37.46,60.01,54.74,39.99,111.93,140.74,47.1,114.83,54.7,81.85,92.94,100.92,101.08,83.94,122.08,23.21,86.59,79.15,39.16,120.94,112.52,80.64,119.72,114.44,46.29,109.05,173.06,39.99,67.18,100.54,80.19,256.41,111.1,87.75,69.07,40.58,72.86,78.73,40.47,44.96,51.45,39.53,28.41,77.38,77.13,68.76,45.44,89.95,47.57,89.23,110.27,101.36,110.73,84.96,91.44,48.22,54.37,86.78,58.72,110.08,53.41,72.1,47.94,50.59,136.74,52.54,101.06,46.25,50.71,54.21,79.14,60.64,82.76,111.4,105.23,125.72,40.81,24.94,64.81,42.88,83.73,21.13,105.14,54.19,113.11,113.08,101.96,104.14,63.83,97.17,37.72,88.54,79.8,120.78,104.39
2015-01-16,201.63,203.0,104.02,184.8,100.82,37.87,60.79,55.39,40.39,111.5,142.62,47.43,116.7,55.59,82.92,94.16,102.18,102.32,83.69,121.4,23.49,87.34,80.02,39.49,122.52,114.28,80.58,121.47,113.8,46.8,110.43,174.67,40.38,67.91,101.53,80.1,259.98,112.52,87.53,70.37,41.12,75.23,79.59,40.91,45.36,52.17,39.67,28.76,78.24,78.19,69.67,46.07,91.14,48.19,89.57,110.27,102.78,110.81,84.88,92.58,48.86,54.73,86.35,59.44,109.76,53.72,73.02,48.41,50.57,139.45,53.09,100.99,46.59,51.37,55.16,80.48,61.56,83.76,112.8,106.03,126.66,42.32,25.84,67.28,43.35,84.73,21.42,107.49,55.57,114.32,113.44,102.77,104.87,64.57,98.06,37.78,90.69,80.58,121.84,105.38
2015-01-20,202.06,203.5,104.17,185.26,101.62,38.04,61.0,55.59,40.25,111.69,142.26,47.34,116.21,55.23,82.94,94.53,102.08,102.79,83.6,121.68,23.39,86.65,80.02,39.43,124.2,113.76,80.5,121.24,114.07,46.85,110.79,174.9,40.72,68.13,102.29,80.17,259.49,112.71,87.61,70.37,41.1,75.32,79.77,40.98,45.72,52.53,39.65,28.85,78.03,78.23,69.27,46.11,91.22,48.27,89.41,110.27,102.14,110.79,84.84,92.8,48.93,55.12,86.45,59.55,109.76,53.7,72.81,48.47,50.58,139.29,53.18,101.1,46.67,51.33,55.41,80.44,61.81,83.69,112.02,106.45,127.15,42.41,25.75,67.13,43.07,84.53,21.2,109.24,56.03,113.8,114.02,103.39,104.2,63.95,97.25,38.87,90.93,80.59,122.1,105.55
2015-01-21,203.08,204.5,104.64,186.23,102.14,38.32,61.48,55.97,41.15,111.49,143.25,48.27,115.84,55.14,83.38,94.98,102.69,103.33,83.44,121.63,23.45,86.59,80.31,40.3,124.23,113.99,80.41,122.15,113.6,47.31,111.31,175.35,40.79,68.4,102.48,80.13,261.05,113.29,87.57,70.51,41.39,76.85,80.29,41.05,45.8,52.96,39.71,29.06,78.35,78.77,69.72,46.3,91.72,48.52,89.89,110.26,102.53,110.69,84.84,93.31,49.16,55.57,86.21,59.99,109.71,53.78,73.23,48.93,50.58,138.58,53.61,101.02,46.87,51.57,55.98,81.42,62.28,84.24,112.74,107.15,127.61,43.27,26.31,68.95,43.12,84.93,21.23,107.94,55.67,113.97,114.32,104.17,104.06,63.87,97.17,38.65,90.7,81.38,123.27,106.56
2015-01-22,206.1,207.5,106.23,189.08,104.03,38.46,61.71,56.13,42.02,111.43,145.86,49.14,118.2,56.29,84.61,96.43,104.27,104.94,83.46,121.57,24.03,88.13,81.45,41.07,125.23,116.09,80.39,123.92,113.63,47.65,113.08,177.92,41.46,69.31,104.42,79.98,265.92,115.05,87.35,71.35,42.0,77.21,80.95,41.65,46.0,53.11,39.79,29.18,79.31,79.87,71.03,47.04,93.03,49.24,90.01,110.27,104.55,110.35,84.81,94.69,49.91,56.46,86.05,60.68,109.84,53.71,74.34,49.26,50.57,141.17,53.97,101.05,46.93,52.46,56.44,82.44,62.57,85.24,114.83,108.42,128.99,43.65,26.58,69.27,44.16,87.08,21.69,108.94,56.36,115.99,116.58,105.99,105.94,64.88,98.96,39.25,92.38,81.09,122.79,106.19
